Strategy,Seed,Decisions,M_T,M_L
S1_AlwaysGround,42,100,6958.1480532213145,0.013049613057821267
S1_AlwaysGround,43,100,7140.2651897078495,0.012765725250529209
S1_AlwaysGround,44,100,7115.011973857456,0.012856672540175274
S1_AlwaysGround,45,100,7184.696204467073,0.013075352800846205
S1_AlwaysGround,46,100,6864.85598937514,0.013098975151258503
S2_AlwaysOrbital,42,100,6958.1480532213145,0.13049613057821172
S2_AlwaysOrbital,43,100,7140.2651897078495,0.12765725250529233
S2_AlwaysOrbital,44,100,7115.011973857456,0.12856672540175285
S2_AlwaysOrbital,45,100,7184.696204467073,0.13075352800846227
S2_AlwaysOrbital,46,100,6864.85598937514,0.1309897515125855
S3_Greedy,42,100,6958.1480532213145,0.013049613057821267
S3_Greedy,43,100,7140.2651897078495,0.012765725250529209
S3_Greedy,44,100,7115.011973857456,0.012856672540175274
S3_Greedy,45,100,7184.696204467073,0.013075352800846205
S3_Greedy,46,100,6864.85598937514,0.013098975151258503
