Strategy,Seed,Decisions,M_T,M_L
S1_AlwaysGround,42,200,4993.109863092393,0.014983536505152335
S1_AlwaysGround,43,200,4934.311198191519,0.0144297327040955
S1_AlwaysGround,44,200,4951.135251476671,0.014433674106032565
S1_AlwaysGround,45,200,4979.330610105281,0.015070923048056772
S1_AlwaysGround,46,200,4948.853795327805,0.014401180466636349
S2_AlwaysOrbital,42,200,4993.109863092393,0.1499093539909056
S2_AlwaysOrbital,43,200,4934.311198191519,0.14414958608607872
S2_AlwaysOrbital,44,200,4954.354184365379,0.14418840651711928
S2_AlwaysOrbital,45,200,4979.330610105281,0.1506671209608125
S2_AlwaysOrbital,46,200,4957.158095950056,0.14405168600104046
S3_Greedy,42,200,4993.109863092393,0.014924387105163068
S3_Greedy,43,200,4934.311198191519,0.014404514979091005
S3_Greedy,44,200,4951.135251476671,0.014363798945604743
S3_Greedy,45,200,4979.330610105281,0.01497022220343036
S3_Greedy,46,200,4948.853795327805,0.014217707928018497
