Strategy,Seed,Decisions,M_T,M_L
S1_AlwaysGround,42,80,3493.3142025663124,0.01228861102521661
S1_AlwaysGround,43,80,3572.9512981500093,0.011707229899625641
S1_AlwaysGround,44,80,3529.858957077158,0.012313535788614122
S1_AlwaysGround,45,80,3565.5400955603805,0.012484483201072847
S1_AlwaysGround,46,80,3436.985013897517,0.010638024072000679
S2_AlwaysOrbital,42,80,3493.3142025663124,0.12281994621852164
S2_AlwaysOrbital,43,80,3572.9512981500093,0.11694330305799157
S2_AlwaysOrbital,44,80,3533.581601519947,0.12316338521887905
S2_AlwaysOrbital,45,80,3569.4172054397523,0.12484483201072859
S2_AlwaysOrbital,46,80,3436.985013897517,0.10638024072000672
S3_Greedy,42,80,3493.3142025663124,0.012119407714310264
S3_Greedy,43,80,3572.9512981500093,0.011707229899625641
S3_Greedy,44,80,3529.858957077158,0.012313535788614122
S3_Greedy,45,80,3565.5400955603805,0.012484483201072847
S3_Greedy,46,80,3436.985013897517,0.010638024072000679
